hhid,hhgroup,sample_segment,sample_county,final_cnty,cityofredmond,cityofseattle,psrc,final_home_tract,final_home_bg,final_home_puma10,final_home_rgcnum,final_home_uvnum,final_home_taz2010,travelweek,traveldate,dayofweek,hhsize,vehicle_count,numadults,numchildren,numworkers,lifecycle,hhincome_detailed,hhincome_followup,hhincome_broad,car_share,rent_own,res_dur,res_type,res_months,offpark,offpark_cost,streetpark,prev_home_wa,prev_home_tract,prev_home_bg,prev_home_puma10,prev_home_rgcname,prev_home_taz2010,prev_home_notwa_notus,prev_home_notwa_city,prev_home_notwa_zip,prev_home_notwa_state,prev_rent_own,prev_res_type,res_factors_30min,res_factors_afford,res_factors_closefam,res_factors_hhchange,res_factors_hwy,res_factors_school,res_factors_space,res_factors_transit,res_factors_walk,rmove_optin,diary_incentive_type,extra_incentive,call_center,mobile_device,contact_email,contact_phone,foreign_language,google_translate,recruit_start_pt,recruit_end_pt,recruit_duration_min,numdayscomplete,day1complete,day2complete,day3complete,day4complete,day5complete,day6complete,day7complete,num_trips,nwkdays,hh_wt_revised,hh_day_wt_revised
17100179,2,55,King,1,0,1,0,53033005400,530330054003,11601,1,17,314,5,5/2/17,3,3,2,2,1,2,2,8,,5,2,1,7,1,1,2,0,2,,,,,,,,,,,,,5,5,4,5,1,4,5,5,5,,2,0,0,0,1,0,0,0,37:40.9,02:35.0,25,1,1,,,,,,,3,1,14.08081544,14.08081544
17100203,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1652,7,5/16/17,3,4,2,2,2,1,1,8,,5,2,2,4,4,1,2,140,1,2,,,,,,1,,,,2,4,1,1,3,2,3,2,3,5,3,,1,1,0,1,1,0,1,0,16:18.5,37:01.5,21,1,1,,,,,,,12,1,101.0860617,101.0860617
17100208,2,11,King,1,0,0,1,53033010002,530330100024,11605,1,0,667,9,5/31/17,4,3,2,2,1,2,2,5,,3,2,2,3,3,1,1,0,1,1,53033010401,530330104013,11605,,766,,,,,2,1,5,5,4,3,4,4,5,5,5,,1,0,0,0,1,0,0,0,53:53.0,07:19.1,14,1,1,,,,,,,17,1,1822.073618,1822.073618
17100221,2,50,King,1,0,1,0,53033007200,530330072001,11603,23,33,471,1,4/6/17,5,1,0,1,0,1,4,7,,5,2,2,1,4,1,0,,4,2,,,,,,0,,20814,,2,4,1,4,3,3,1,1,3,4,5,2,2,0,0,0,,,0,0,07:23.4,13:05.0,6,1,1,,,,,,,3,1,51.94565672,51.94565672
17100231,2,33,King,1,1,0,0,53033032323,530330323232,11607,1,0,1707,7,5/16/17,3,2,2,2,0,0,8,11,6,6,2,4,3,4,1,2,35,3,1,53061052607,530610526072,11705,,2346,,,,,1,1,4,4,4,3,1,1,3,3,4,,1,0,0,0,1,0,0,0,31:53.6,32:45.9,61,1,1,,,,,,,8,1,13.09220103,13.09220103
17100233,2,2,King,1,0,0,1,53033029602,530330296021,11614,1,0,1202,2,4/12/17,4,2,3,2,0,1,8,8,,5,2,1,7,1,1,6,0,1,,,,,,,,,,,,,3,4,4,4,3,4,3,3,3,2,2,0,0,0,1,0,0,0,37:59.6,56:39.9,19,1,1,,,,,,,21,1,546.9,546.9
17100238,2,13,Kitsap,2,0,0,1,53035091000,530350910003,11801,1,0,3699,8,5/24/17,4,2,2,2,0,0,8,7,,5,2,1,6,2,1,2,0,3,,,,,,,,,,,,,3,4,3,4,3,3,4,3,3,,1,1,0,0,1,0,0,0,42:50.8,01:31.4,19,1,1,,,,,,,6,1,217.3194501,217.3194501
17100248,1,51,King,1,0,1,0,53033007401,530330074014,11603,21,9,429,7,5/16/17,3,1,0,1,0,1,4,9,,5,1,1,4,4,1,1,0,3,1,53033008300,530330083002,11603,Seattle First Hill/Capitol Hill,574,,,,,2,4,5,4,4,1,2,1,2,5,5,1,,0,0,0,1,0,0,0,03:16.6,12:10.6,9,7,1,1,1,1,1,1,1,42,4,478.6551911,119.6637978
17100255,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1674,6,5/10/17,4,1,1,1,0,1,3,7,,5,2,2,1,4,1,10,100,3,1,53033025003,530330250033,11608,,1449,,,,,2,4,5,4,4,5,2,1,2,4,5,2,1,1,0,0,1,0,0,0,13:06.3,31:14.6,18,1,1,,,,,,,10,1,4.275,4.275
17100280,2,50,King,1,0,1,0,53033007000,530330070005,11603,25,38,398,4,4/26/17,4,1,0,1,0,0,4,11,2,2,1,2,5,4,1,0,,3,,,,,,,,,,,,,3,5,4,3,2,1,4,5,5,,3,0,0,0,,,0,0,05:45.2,19:43.9,14,1,1,,,,,,,4,1,98.3084151,98.3084151
17100291,2,11,Pierce,3,0,0,1,53053072000,530530720002,11503,1,0,3347,9,6/1/17,5,2,1,2,0,1,7,3,,2,2,2,6,4,1,10,0,3,,,,,,,,,,,,,5,5,2,3,3,4,4,4,3,,3,1,0,1,0,1,0,0,14:44.1,24:15.6,10,1,1,,,,,,,6,1,267.425,267.425
17100303,1,55,King,1,0,1,0,53033001200,530330012005,11602,22,26,71,6,5/9/17,3,2,2,2,0,2,6,5,,3,1,2,2,4,1,10,45,2,1,53033001200,530330012002,11602,,67,,,,,2,1,4,5,5,4,4,1,3,4,4,1,,0,0,1,1,0,0,1,32:36.7,55:54.7,23,2,1,0,0,0,1,0,0,108,1,12.99256464,12.99256464
17100326,2,52,King,1,0,1,0,53033005802,530330058023,11603,1,6,391,6,5/10/17,4,2,1,2,0,2,6,7,,5,2,2,2,4,1,1,0,1,1,53033001200,530330012001,11602,,65,,,,,2,1,3,4,2,1,3,1,3,5,4,2,1,0,0,0,1,0,0,0,10:17.5,16:58.0,6,1,1,,,,,,,4,1,22.72120827,22.72120827
17100342,1,59,King,1,0,1,0,53033000700,530330007001,11602,1,21,23,4,4/25/17,3,2,2,2,0,2,6,7,,5,2,2,1,4,1,10,140,1,2,,,,,,0,Lansing,,22,2,4,4,5,2,2,2,2,2,4,5,1,,0,0,1,1,0,0,0,20:08.1,31:07.1,11,7,1,1,1,1,1,1,1,77,4,4.25309979,1.063274948
17100372,2,51,King,1,0,1,0,53033007500,530330075002,11604,21,28,554,2,4/12/17,4,2,1,2,0,1,7,10,,5,1,2,5,2,1,1,0,2,,,,,,,,,,,,,5,2,4,3,2,3,1,5,5,,4,0,0,0,,,0,0,25:32.9,33:00.8,8,1,1,,,,,,,3,1,25.77715916,25.77715916
17100410,1,50,King,1,0,1,0,53033007500,530330075004,11604,21,16,585,6,5/9/17,3,1,0,1,0,1,4,5,,3,1,2,4,4,1,0,,3,1,53033005100,530330051001,11601,,311,,,,,2,2,5,5,4,3,2,3,4,5,5,1,,0,0,1,1,0,0,0,52:50.1,03:36.7,11,7,1,1,1,1,1,1,1,26,4,48.74725995,12.18681499
17100411,2,53,King,1,0,1,0,53033005301,530330053011,11602,24,36,284,5,5/2/17,3,1,0,1,0,1,3,5,,3,2,2,5,4,1,10,0,3,,,,,,,,,,,,,4,4,4,3,2,3,4,5,5,,4,0,0,0,,,0,0,29:21.4,38:28.8,9,1,1,,,,,,,2,1,24.98856673,24.98856673
17100414,2,3,King,1,0,0,1,53033009900,530330099002,11605,1,0,702,7,5/18/17,5,3,2,2,1,2,1,7,,5,2,1,3,1,1,2,0,1,1,53033006100,530330061004,11603,,362,,,,,2,2,5,5,1,4,4,5,4,4,4,2,1,0,0,1,1,1,0,0,36:31.0,48:31.6,12,1,1,,,,,,,10,1,526.313051,526.313051
17100418,2,42,King,1,1,0,0,53033032309,530330323091,11607,16,0,1657,9,6/1/17,5,2,2,2,0,1,7,7,,5,2,2,3,4,1,10,70,3,1,53033006300,530330063001,11604,,373,,,,,2,4,4,5,5,4,4,2,4,2,4,,1,1,0,0,,,0,0,45:00.9,02:44.1,17,1,1,,,,,,,6,1,2.726670984,2.726670984
17100433,2,22,King,1,1,0,0,53033032324,530330323243,11607,1,0,1677,3,4/18/17,3,2,1,2,0,1,6,4,,2,2,2,2,3,1,1,0,3,1,,,,,,,,,,2,3,4,4,3,4,2,3,4,5,5,,2,0,0,1,,,0,0,38:21.1,55:36.0,17,1,1,,,,,,,0,1,17.21823737,17.21823737
17100441,2,52,King,1,0,1,0,53033005802,530330058023,11603,1,6,391,5,5/3/17,4,2,1,2,0,1,7,7,,5,1,1,5,2,1,1,0,1,,,,,,,,,,,,,5,5,1,1,1,1,4,5,5,2,1,0,0,1,1,0,0,0,40:24.3,51:02.0,11,1,1,,,,,,,8,1,22.99584803,22.99584803
17100458,2,33,King,1,1,0,0,53033022902,530330229024,11607,1,0,1623,2,4/11/17,3,1,1,1,0,1,4,11,6,6,2,1,3,4,1,1,0,1,1,53033022902,530330229024,11607,,1623,,,,,2,4,5,5,5,2,4,2,2,2,4,,1,0,0,0,1,0,0,0,58:11.2,13:15.4,15,1,1,,,,,,,9,1,12.5,12.5
17100477,2,31,King,1,1,0,0,53033032313,530330323134,11607,1,0,1930,3,4/20/17,5,4,1,2,2,1,1,11,6,6,2,2,3,4,1,1,50,3,2,,,,,,1,,,,2,4,4,5,4,2,4,5,5,1,4,,1,0,0,0,,,0,0,12:20.3,29:20.2,17,1,1,,,,,,,5,1,157.4995305,157.4995305
17100482,2,52,King,1,0,1,0,53033005900,530330059001,11603,1,6,341,1,4/4/17,3,1,1,1,0,1,4,5,,3,2,2,5,4,1,10,0,3,,,,,,,,,,,,,5,5,3,4,3,3,4,5,5,,3,0,0,0,1,0,0,1,58:59.8,14:13.3,16,1,1,,,,,,,3,1,35.09982993,35.09982993
17100492,2,50,King,1,0,1,0,53033005802,530330058022,11603,1,38,389,4,4/26/17,4,1,1,1,0,1,5,2,,1,2,2,6,1,1,1,0,1,,,,,,,,,,,,,2,5,3,1,2,1,5,2,4,,4,0,0,0,1,0,0,0,08:16.4,23:44.4,15,1,1,,,,,,,3,1,45.81289465,45.81289465
17100501,1,58,King,1,0,1,0,53033008100,530330081003,11603,20,12,510,6,5/9/17,3,1,0,1,0,1,3,5,,3,1,2,1,4,1,1,125,3,1,53033001900,530330019001,11602,Seattle Northgate,69,,,,,2,4,2,4,5,3,3,3,2,5,5,1,,0,0,0,1,0,0,0,48:24.6,55:00.6,7,5,0,0,1,1,1,1,1,24,2,30.39673265,15.19836632
17100563,2,52,King,1,0,1,0,53033008900,530330089003,11604,1,2,622,7,5/18/17,5,1,1,1,0,1,4,5,,3,2,1,4,4,1,1,0,1,1,53061050200,530610502004,11701,,2505,,,,,2,1,3,4,5,3,4,1,1,4,4,2,1,0,0,0,1,0,0,0,18:49.7,29:17.7,11,1,1,,,,,,,4,1,22.28540434,22.28540434
17100569,2,52,King,1,0,1,0,53033009200,530330092002,11603,20,18,612,4,4/26/17,4,1,0,1,0,1,3,5,,3,1,2,5,4,1,0,,1,,,,,,,,,,,,,3,5,3,1,1,1,5,5,4,2,1,0,0,0,1,0,0,0,54:17.0,01:25.9,7,1,1,,,,,,,2,1,43.91573358,43.91573358
17100590,1,51,King,1,0,1,0,53033006600,530330066002,11603,1,15,382,5,5/2/17,3,1,1,1,0,1,3,5,,3,2,2,1,4,1,1,0,2,1,53033005301,530330053012,11602,Seattle University Community,284,,,,,2,4,4,5,3,5,4,1,3,5,4,1,,0,0,0,1,0,0,0,00:19.3,07:35.0,7,7,1,1,1,1,1,1,1,40,4,87.76402417,21.94100604
17100627,2,51,King,1,0,1,0,53033005000,530330050003,11601,1,39,316,6,5/10/17,4,1,1,1,0,1,4,5,,3,2,2,5,4,1,1,0,1,,,,,,,,,,,,,5,5,5,3,4,3,4,4,5,,2,0,0,0,1,0,0,0,12:24.5,19:16.6,7,1,1,,,,,,,8,1,23.25423746,23.25423746
17100652,1,42,King,1,1,0,0,53033032309,530330323091,11607,1,0,1653,2,4/11/17,3,3,1,2,1,1,1,5,,3,2,2,2,4,1,0,,2,1,53033022801,530330228014,11608,,1611,,,,,2,4,5,5,5,3,4,5,5,5,5,1,,1,0,0,1,0,0,0,21:33.1,47:43.9,26,6,1,1,1,1,0,1,1,114,4,63.27346012,15.81836504
17100654,1,23,King,1,1,0,0,53033032321,530330323213,11616,1,0,1714,9,5/30/17,3,3,2,2,1,1,2,11,6,6,2,1,5,1,1,3,0,1,,,,,,,,,,,,,2,2,3,3,3,1,1,3,3,1,,0,0,1,1,0,0,0,24:12.5,50:44.7,26,5,0,0,1,1,1,1,1,82,4,24.12668167,6.031670415
17100663,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1656,2,4/13/17,5,1,1,1,0,1,3,7,,5,2,2,4,4,1,0,,1,2,,,,,,1,,,,4,4,5,5,3,1,2,1,1,4,4,2,1,1,0,0,1,0,0,0,44:30.6,52:44.8,8,1,1,,,,,,,5,1,4.275,4.275
17100673,2,2,King,1,0,0,1,53033021903,530330219032,11607,1,0,1734,6,5/11/17,5,2,2,2,0,2,6,8,,5,2,1,3,1,1,2,0,1,1,53033008400,530330084002,11603,Seattle First Hill/Capitol Hill,574,,,,,2,4,2,5,5,3,5,5,5,4,4,,1,0,0,0,1,0,0,0,11:12.5,19:07.5,8,1,1,,,,,,,4,1,546.9,546.9
17100675,1,2,Snohomish,4,0,0,1,53061051927,530610519272,11702,1,0,2527,9,5/30/17,3,1,1,1,0,1,4,8,,5,2,1,1,2,1,4,0,1,1,53061052007,530610520071,11704,,2473,,,,,2,1,3,4,3,5,4,3,2,2,2,1,,1,0,0,1,0,0,0,14:42.6,36:21.1,22,6,1,0,1,1,1,1,1,31,3,976.3255537,325.4418512
17100681,2,55,King,1,0,1,0,53033001200,530330012005,11602,22,26,46,8,5/24/17,4,2,1,2,0,2,6,8,,5,2,1,1,2,1,1,0,1,1,53033009200,530330092001,11603,Seattle Downtown,613,,,,,2,4,4,5,2,5,2,3,2,5,4,2,1,1,0,0,1,0,0,0,57:34.4,52:09.2,55,1,1,,,,,,,5,1,13.38094457,13.38094457
17100717,2,12,King,1,0,0,1,53033011300,530330113005,11605,1,0,800,4,4/26/17,4,1,0,1,0,0,4,2,,1,1,2,2,4,1,1,0,1,1,53033009800,530330098004,11605,,697,,,,,2,4,1,4,4,5,1,1,4,5,5,2,1,0,0,1,1,0,0,0,07:05.5,24:19.7,17,1,1,,,,,,,3,1,2182.77397,2182.77397
17100739,2,2,Pierce,3,0,0,1,53053072800,530530728002,11503,1,0,3075,6,5/11/17,5,3,1,3,0,0,7,5,,3,2,2,4,1,1,1,0,1,2,,,,,,0,Fort Rucker,,1,3,3,5,4,3,3,3,3,4,3,5,,4,0,0,0,1,0,0,0,51:48.1,19:48.2,28,1,1,,,,,,,10,1,1112.809993,1112.809993
17100760,2,2,King,1,0,0,1,53033011101,530330111014,11604,1,0,772,5,5/2/17,3,4,3,3,1,2,2,7,,5,2,1,6,1,4,2,0,1,,,,,,,,,,,,,5,5,3,3,2,4,2,5,2,,2,0,0,0,1,0,0,0,14:34.2,30:56.8,16,1,1,,,,,,,17,1,1473.628476,1473.628476
17100761,2,23,King,1,1,0,0,53033032321,530330323214,11616,1,0,1713,3,4/19/17,4,4,2,2,2,1,2,7,,5,2,2,2,2,1,2,0,1,2,,,,,,1,,,,2,4,5,5,1,1,3,5,3,2,4,,1,0,0,0,1,0,0,0,30:49.3,41:35.4,11,1,1,,,,,,,25,1,24.84657905,24.84657905
17100789,2,2,King,1,0,0,1,53033024800,530330248003,11608,1,0,1468,4,4/26/17,4,3,1,2,1,1,2,7,,5,2,2,1,4,1,1,0,1,1,53033025005,530330250051,11609,,1429,,,,,2,4,1,5,1,1,1,5,1,1,1,,1,0,0,0,1,0,0,0,55:47.5,08:05.1,13,1,1,,,,,,,4,1,550.0377677,550.0377677
17100794,2,32,King,1,1,0,0,53033032324,530330323242,11607,16,0,1676,5,5/4/17,5,3,1,3,0,0,7,11,6,6,2,5,4,1,1,4,0,1,1,53033022605,530330226053,11607,,1672,,,,,2,4,5,5,3,5,4,5,4,3,3,,1,0,0,0,1,0,1,0,51:47.1,02:14.3,11,1,1,,,,,,,2,1,24.90858161,24.90858161
17100800,2,22,King,1,1,0,0,53033032324,530330323243,11607,1,0,1677,2,4/13/17,5,1,1,1,0,1,4,9,,5,2,1,2,4,1,1,0,3,1,53033032313,530330323132,11607,,1649,,,,,2,4,1,1,2,3,3,3,3,3,2,,4,0,0,0,,,0,0,18:46.2,30:07.4,12,1,1,,,,,,,5,1,16.1,16.1
17100807,2,54,King,1,0,1,0,53033009600,530330096002,11605,1,3,679,9,5/31/17,4,1,1,1,0,1,4,5,,3,2,1,5,1,1,2,0,1,,,,,,,,,,,,,5,4,2,5,4,1,4,4,4,,3,0,0,0,1,0,0,0,23:41.8,31:52.9,8,1,1,,,,,,,4,1,15.50055802,15.50055802
17100818,1,55,King,1,0,1,0,53033000401,530330004013,11601,1,8,4,5,5/2/17,3,1,1,1,0,1,4,4,,2,2,1,5,4,1,10,0,1,,,,,,,,,,,,,5,5,4,1,5,1,4,3,3,1,,0,0,0,1,1,0,0,19:55.0,34:40.9,15,6,1,0,1,1,1,1,1,34,3,12.98753592,4.329178642
17100822,2,54,King,1,0,1,0,53033008100,530330081001,11603,20,12,535,3,4/20/17,5,2,1,2,0,1,7,10,,5,1,1,6,4,1,2,0,3,,,,,,,,,,,,,5,3,4,1,1,1,3,5,5,2,2,0,0,0,1,0,0,0,19:57.1,32:18.6,13,1,1,,,,,,,8,1,15.87428568,15.87428568
17100834,1,57,King,1,0,1,0,53033003600,530330036001,11601,1,19,180,2,4/11/17,3,2,0,2,0,1,6,4,,2,2,2,1,4,5,10,230,3,1,53033007500,530330075004,11604,Seattle First Hill/Capitol Hill,565,,,,,2,4,1,1,3,2,4,2,2,1,2,1,,0,0,0,1,0,1,0,02:31.0,23:51.8,21,2,0,0,0,0,0,1,1,71,1,7.112845225,7.112845225
17100836,2,55,King,1,0,1,0,53033004900,530330049003,11601,1,17,324,2,4/11/17,3,3,2,2,1,2,2,7,,5,2,1,5,2,1,1,0,2,,,,,,,,,,,,,1,2,2,1,1,2,2,1,5,,1,0,0,0,1,0,0,0,16:55.6,35:02.9,19,1,1,,,,,,,8,1,14.07639451,14.07639451
17100837,2,51,King,1,0,1,0,53033007500,530330075001,11604,21,9,425,2,4/11/17,3,1,2,1,0,1,4,5,,3,1,2,3,4,1,0,,2,1,53033006500,530330065003,11604,Seattle First Hill/Capitol Hill,408,,,,,2,4,5,5,5,3,4,3,1,5,5,2,2,0,0,0,1,0,0,0,55:45.9,09:55.5,14,1,1,,,,,,,5,1,27.34433632,27.34433632
17100859,2,56,King,1,0,1,0,53033007000,530330070004,11603,1,37,397,9,5/31/17,4,2,1,2,0,2,6,8,,5,2,1,5,4,1,0,,2,,,,,,,,,,,,,4,5,3,3,2,3,3,5,5,,5,1,0,0,,,0,0,41:12.2,53:49.1,12,1,1,,,,,,,11,1,8.871607631,8.871607631
17100868,1,50,King,1,0,1,0,53033007200,530330072001,11603,23,33,473,9,5/30/17,3,2,0,2,0,2,7,8,,5,1,2,4,4,1,2,500,3,1,53033008100,530330081001,11603,Seattle Downtown,509,,,,,2,4,4,5,1,1,2,1,1,5,5,1,,1,0,0,1,0,0,0,19:35.6,46:07.4,27,3,1,0,0,1,1,0,0,36,1,45.99476267,45.99476267
17100889,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1676,1,4/4/17,3,1,1,1,0,1,3,7,,5,2,2,1,4,3,1,75,4,2,,,,,,0,Madison,,50,2,4,5,5,2,5,4,1,5,2,2,2,1,1,0,0,1,0,0,0,25:18.3,33:43.4,8,1,1,,,,,,,5,1,4.275,4.275
17100892,2,42,King,1,1,0,0,53033032309,530330323091,11607,16,0,1657,7,5/16/17,3,2,1,2,0,1,6,8,,5,2,2,5,4,1,1,35,1,,,,,,,,,,,,,5,5,3,3,5,1,5,5,5,,1,1,0,0,1,0,0,0,06:48.8,41:04.5,35,1,1,,,,,,,6,1,2.65,2.65
17100907,1,13,King,1,0,0,1,53033007000,530330070003,11603,1,0,400,7,5/16/17,3,1,1,1,0,1,4,11,6,6,1,1,5,4,2,1,0,2,,,,,,,,,,,,,5,4,5,3,5,3,5,5,5,1,,0,0,0,1,0,0,0,08:19.8,20:38.1,12,7,1,1,1,1,1,1,1,32,4,523.8825766,130.9706441
17100908,2,52,King,1,0,1,0,53033011200,530330112001,11605,1,18,805,3,4/18/17,3,1,1,1,0,1,4,5,,3,2,2,1,4,1,1,0,1,1,53033026100,530330261001,11610,,910,,,,,2,6,5,5,3,2,5,3,3,4,4,,1,0,0,0,1,0,0,0,59:39.2,11:19.3,12,1,1,,,,,,,2,1,22.28540434,22.28540434
17100924,2,59,King,1,0,1,0,53033008700,530330087003,11604,1,1,600,8,5/25/17,5,3,0,3,0,1,8,7,,5,2,2,1,4,1,1,0,3,1,53033011101,530330111012,11604,,813,,,,,2,4,5,5,1,1,1,1,4,5,5,,4,0,0,0,1,0,0,0,30:51.0,44:31.6,14,1,1,,,,,,,9,1,4.538114767,4.538114767
17100939,2,55,King,1,0,1,0,53033000401,530330004011,11601,1,8,3,7,5/17/17,4,4,2,2,2,1,1,7,,5,2,1,5,2,1,1,0,1,,,,,,,,,,,,,5,5,3,3,2,3,3,1,3,,1,0,0,0,1,0,0,0,19:28.6,29:24.9,10,1,1,,,,,,,11,1,13.65042932,13.65042932
17100942,1,58,King,1,0,1,0,53033009100,530330091002,11603,20,10,629,2,4/11/17,3,1,0,1,0,1,4,7,,5,2,1,1,4,1,1,0,1,1,53033009100,530330091002,11603,Seattle Downtown,629,,,,,2,4,5,4,4,3,3,1,1,5,5,1,,0,0,0,0,1,0,0,36:18.9,43:49.1,7,5,1,1,1,1,0,0,1,39,4,13.26695806,3.316739514
17100952,2,1,King,1,0,0,1,53033023201,530330232011,11608,1,0,1566,4,4/27/17,5,2,1,2,0,0,7,5,,3,2,2,1,4,1,1,0,4,1,53033032324,530330323243,11607,,1677,,,,,4,4,5,5,4,5,3,1,5,4,5,,1,0,0,1,1,0,0,0,24:16.4,36:54.9,12,1,1,,,,,,,2,1,543.0675524,543.0675524
17100957,2,50,King,1,0,1,0,53033007500,530330075004,11604,21,16,554,3,4/18/17,3,2,0,2,0,2,7,2,,1,1,2,4,4,1,0,,3,1,53033004301,530330043011,11602,,288,,,,,2,1,5,5,5,3,3,5,5,5,5,,1,0,0,1,1,0,0,0,03:29.8,25:47.5,22,1,1,,,,,,,19,1,50.58076129,50.58076129
17100964,1,42,King,1,1,0,0,53033032309,530330323091,11607,1,0,1657,9,5/30/17,3,2,2,2,0,2,6,7,,5,2,2,3,4,1,2,70,2,1,53033022202,530330222025,11607,,1720,,,,,2,4,5,4,2,1,4,1,2,4,5,1,,1,0,0,1,0,0,0,51:55.9,03:46.7,12,7,1,1,1,1,1,1,1,71,4,2.65,0.6625
17100982,2,52,King,1,0,1,0,53033010900,530330109001,11605,1,18,778,5,5/3/17,4,1,1,1,0,0,5,7,,5,2,1,7,1,1,1,0,1,,,,,,,,,,,,,5,5,5,4,4,5,4,5,5,,1,0,0,0,1,0,0,0,56:44.1,27:45.3,14131,1,1,,,,,,,4,1,22.18337277,22.18337277
