hhid,personid,pernum,sample_segment,hhgroup,traveldate,relationship,proxy_parent,proxy,age,gender,employment,jobs_count,worker,student,schooltype,education,license,vehicleused,smartphone_type,smartphone_age,smartphone_qualified,race_afam,race_aiak,race_asian,race_hapi,race_hisp,race_white,race_other,race_noanswer,workplace,hours_work,commute_freq,commute_mode,commute_dur,telecommute_freq,wpktyp,workpass,workpass_cost,workpass_cost_dk,work_county,work_tract,work_bg,work_puma10,work_rgcname,work_taz2010,prev_work_wa,prev_work_county,prev_work_tract,prev_work_bg,prev_work_puma10,prev_work_rgcname,prev_work_taz2010,prev_work_notwa_city,prev_work_notwa_zip,prev_work_notwa_state,prev_work_notwa_notus,school_freq,school_loc_county,school_tract,school_bg,school_puma10,school_rgcname,school_taz2010,completed_pref_survey,mode_freq_1,mode_freq_2,mode_freq_3,mode_freq_4,mode_freq_5,tran_pass_1,tran_pass_2,tran_pass_3,tran_pass_4,tran_pass_5,tran_pass_6,tran_pass_7,tran_pass_8,tran_pass_9,tran_pass_10,tran_pass_11,tran_pass_12,benefits_1,benefits_2,benefits_3,benefits_4,av_interest_1,av_interest_2,av_interest_3,av_interest_4,av_interest_5,av_interest_6,av_interest_7,av_concern_1,av_concern_2,av_concern_3,av_concern_4,av_concern_5,wbt_transitmore_1,wbt_transitmore_2,wbt_transitmore_3,wbt_bikemore_1,wbt_bikemore_2,wbt_bikemore_3,wbt_bikemore_4,wbt_bikemore_5,rmove_incentive,call_center,mobile_device,num_trips,nwkdays,hh_wt_revised,hh_day_wt_revised
17100179,1710017903,3,55,2,5/2/17,2,,3,4,2,,0,0,,3,,1,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033002600,530330026003,11602,,182,1,3,4,2,7,7,1,3,3,3,3,3,3,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,14.08081544,14.08081544
17100203,1710020301,1,43,2,5/16/17,0,,2,7,2,5,,0,1,,6,1,1,2,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,2,1,1,2,5,5,5,5,5,5,5,5,5,,0,1,4,1,101.0860617,101.0860617
17100203,1710020302,2,43,2,5/16/17,1,,1,7,1,1,1,1,1,,6,1,2,2,1,0,0,0,1,0,0,0,0,0,1,1,2,1,4,7,2,5,,,King County,53033032309,530330323091,11607,,1684,2,,,,,,,,,,1,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,2,1,1,3,3,3,3,3,3,3,3,2,1,5,2,4,5,5,5,5,5,5,5,5,,0,1,2,1,101.0860617,101.0860617
17100203,1710020303,3,43,2,5/16/17,2,,3,1,1,,,0,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,101.0860617,101.0860617
17100203,1710020304,4,43,2,5/16/17,2,,3,1,2,,,0,,9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,101.0860617,101.0860617
17100208,1710020801,1,11,2,5/31/17,0,,1,6,2,2,2,1,1,,6,1,1,2,1,0,0,0,0,0,0,1,0,0,1,4,4,1,3,7,1,5,,,King County,53033009300,530330093003,11605,,670,1,King County,53033032321,530330323212,11616,,1746,,,,,,,,,,,,1,4,5,3,7,7,2,1,1,3,3,3,3,3,3,3,3,,3,4,1,1,4,2,2,1,4,2,3,1,2,2,1,2,3,2,3,3,3,3,5,4,,0,0,10,1,1822.073618,1822.073618
17100208,1710020802,2,11,2,5/31/17,1,,2,8,1,3,1,1,1,,6,1,2,2,2,1,0,0,0,0,1,0,1,0,2,3,2,1,,9,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,4,7,7,1,3,2,3,3,3,3,3,3,3,3,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,,0,0,5,1,1822.073618,1822.073618
17100208,1710020803,3,11,2,5/31/17,2,,3,3,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033010001,530330100012,11605,,709,1,3,7,4,,,2,3,1,3,3,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,1822.073618,1822.073618
17100221,1710022101,1,50,2,4/6/17,0,,1,7,1,1,1,1,1,,4,1,,2,2,1,0,0,1,0,0,1,1,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,1,7,5,2,2,1,2,2,2,2,2,2,2,2,,1,1,1,1,1,3,,,1,1,1,2,4,2,4,2,4,4,4,2,2,2,2,3,,0,0,3,1,51.94565672,51.94565672
17100231,1710023101,1,33,2,5/16/17,0,,1,10,1,4,,0,1,,7,1,1,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,7,7,,,,,,,,,,,,,,,,,6,6,,,6,6,6,1,1,2,1,1,6,4,4,5,5,5,5,5,,0,0,3,1,13.09220103,13.09220103
17100231,1710023102,2,33,2,5/16/17,1,,3,10,2,4,,0,1,,6,1,2,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,13.09220103,13.09220103
17100233,1710023301,1,2,2,4/12/17,0,,1,10,1,6,,0,1,,6,1,2,1,2,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,3,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,4,1,1,1,1,1,6,6,6,4,4,4,4,6,,0,0,16,1,546.9,546.9
17100233,1710023302,2,2,2,4/12/17,1,,2,9,2,1,1,1,1,,7,1,1,1,2,1,0,0,0,0,0,0,0,1,1,2,3,11,6,9,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,538,,,,,,,,,,,,,,,,,,,1,3,7,2,7,7,2,3,1,3,3,3,3,3,3,3,3,,3,2,3,4,5,5,5,5,5,5,4,1,1,1,1,1,4,4,4,6,6,6,6,6,,0,0,5,1,546.9,546.9
17100238,1710023801,1,13,2,5/24/17,0,,1,11,1,6,,0,1,,6,1,2,3,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,5,7,7,2,1,3,3,1,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,,0,0,3,1,217.3194501,217.3194501
17100238,1710023802,2,13,2,5/24/17,1,,3,10,2,6,,0,1,,6,1,2,3,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,217.3194501,217.3194501
17100248,1710024801,1,51,1,5/16/17,0,0,1,7,1,1,1,1,1,,6,1,,2,2,1,0,0,0,0,0,1,0,0,1,3,2,8,1,8,,,,,King County,53033005400,530330054003,11601,,315,1,King County,53033004900,530330049002,11601,,324,,,,,,,,,,,,1,2,3,1,4,4,2,2,1,3,3,3,3,3,3,3,3,,3,2,3,3,1,1,1,1,5,1,1,2,2,2,2,4,,,,-9999,-9999,-9999,-9999,-9999,2,0,1,44,4,478.6551911,119.6637978
17100255,1710025501,1,43,2,5/10/17,0,,1,6,2,1,1,1,1,,6,1,1,1,2,1,0,0,0,0,0,1,0,0,2,2,2,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,1,7,6,2,3,1,3,3,3,3,3,3,3,3,,2,2,3,2,4,4,3,4,3,4,4,5,5,5,5,5,2,2,2,5,5,5,5,5,,0,0,10,1,4.275,4.275
17100280,1710028001,1,50,2,4/26/17,0,,1,7,2,7,,0,1,,6,1,,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,4,6,7,2,3,1,3,3,3,3,3,3,3,3,,,,,,4,4,,,5,5,4,1,2,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,8,1,98.3084151,98.3084151
17100291,1710029101,1,11,2,6/1/17,0,,3,8,2,1,1,1,1,,3,1,1,1,2,1,0,0,1,0,0,1,0,0,1,3,2,1,2,2,1,5,,,Pierce County,53053073404,530530734042,11506,,3285,1,Pierce County,53053061601,530530616011,11501,Tacoma Downtown,2869,,,,,,,,,,,,1,7,6,2,7,7,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,0,1,6,1,267.425,267.425
17100291,1710029102,2,11,2,6/1/17,2,,1,5,2,7,,0,1,,2,3,,1,2,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,3,7,7,1,2,2,2,2,2,2,2,2,2,2,,,,,,2,3,,,3,1,3,4,2,3,3,3,2,3,3,6,6,6,6,6,,0,1,0,1,267.425,267.425
17100303,1710030301,1,55,1,5/9/17,0,0,1,6,2,1,2,1,1,,3,1,1,2,2,1,0,0,1,1,0,1,0,0,1,2,2,1,2,9,1,5,,,King County,53033011102,530330111022,11604,,771,1,King County,53033021100,530330211004,11606,,1869,,,,,,,,,,,,1,5,7,1,5,5,2,2,1,3,3,2,3,3,3,3,3,,1,1,1,1,2,5,5,5,5,5,2,2,1,1,1,1,4,2,4,5,5,5,5,5,2,0,1,70,1,12.99256464,12.99256464
17100303,1710030302,2,55,1,5/9/17,1,0,1,6,1,1,1,1,3,6,5,1,13,2,2,1,1,0,1,0,0,0,0,0,1,2,2,8,5,9,,,,,King County,53033000600,530330006001,11601,,8,,,,,,,,,,,,3,King County,53033008400,530330084001,11603,Seattle First Hill/Capitol Hill,552,1,2,7,5,3,6,2,3,1,3,3,3,3,3,3,3,3,5,1,3,1,1,5,5,5,5,1,5,5,2,2,1,1,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,1,38,1,12.99256464,12.99256464
17100326,1710032601,1,52,2,5/10/17,0,,2,6,2,1,1,1,1,,4,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,5,9,6,5,,,King County,53033002900,530330029001,11601,,135,,,,,,,,,,,,,,,,,,,1,5,7,4,7,6,2,3,1,3,3,3,3,3,3,3,3,,1,1,1,1,3,3,3,4,4,3,2,2,3,3,2,3,3,3,2,6,6,6,6,6,,0,0,3,1,22.72120827,22.72120827
17100326,1710032602,2,52,2,5/10/17,1,,1,6,1,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,2,3,7,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,5,7,5,2,3,1,3,3,3,3,3,3,3,3,,1,1,3,4,2,2,3,3,4,3,1,2,3,3,2,3,3,1,1,6,6,6,6,6,,0,0,0,1,22.72120827,22.72120827
17100342,1710034201,1,59,1,4/25/17,0,0,1,6,2,1,1,1,1,,6,1,13,1,2,1,0,0,0,0,0,1,0,0,1,3,2,8,1,8,,,,,King County,53033009300,530330093002,11605,,655,2,,,,,,,Mason,,22,0,,,,,,,,1,2,7,5,7,5,2,2,1,2,2,2,2,2,2,2,2,,1,1,3,1,2,2,2,4,2,2,1,1,3,2,1,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,0,38,4,4.25309979,1.063274948
17100342,1710034202,2,59,1,4/25/17,1,0,1,6,2,1,1,1,1,,7,1,2,2,2,1,0,0,0,0,0,1,0,0,1,1,2,1,1,7,1,5,,,King County,53033005301,530330053011,11602,Seattle University Community,284,2,,,,,,,East lansing,,22,0,,,,,,,,1,3,6,2,7,5,2,3,1,3,3,3,3,3,3,3,3,,3,3,1,1,3,2,2,1,3,3,2,2,1,1,1,1,2,2,2,3,2,4,3,2,1,0,1,41,4,4.25309979,1.063274948
17100372,1710037201,1,51,2,4/12/17,0,,1,7,2,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,2,2,8,6,9,,,,,King County,53033008500,530330085001,11603,Seattle Downtown,539,,,,,,,,,,,,,,,,,,,1,2,6,4,6,6,2,3,1,3,3,3,3,3,3,3,3,,3,3,3,2,1,2,5,5,3,5,1,3,2,1,4,3,,,,-9999,-9999,-9999,-9999,-9999,,0,0,3,1,25.77715916,25.77715916
17100372,1710037202,2,51,2,4/12/17,1,,2,7,1,7,,0,1,,6,1,11,2,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,2,4,7,1,3,3,3,3,3,3,3,3,3,3,,,,,,6,1,,,4,1,5,2,4,4,3,1,3,2,3,4,4,5,5,6,,0,0,0,1,25.77715916,25.77715916
17100410,1710041001,1,50,1,5/9/17,0,0,1,7,2,1,1,1,1,,6,1,,2,2,1,0,0,0,0,1,1,0,0,1,2,2,8,5,8,,,,,King County,53033007300,530330073003,11603,Seattle Downtown,493,,,,,,,,,,,,,,,,,,,1,2,7,1,6,3,2,3,1,3,3,3,3,3,3,3,1,,1,1,3,3,2,2,2,1,3,2,2,1,2,2,1,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,1,27,4,48.74725995,12.18681499
17100411,1710041101,1,53,2,5/2/17,0,,1,6,1,1,1,1,2,6,6,3,,3,,0,0,1,0,0,0,1,0,0,1,3,2,8,5,8,,,,,King County,53033023601,530330236011,11608,,1559,,,,,,,,,,,,6,King County,53033008200,530330082001,11603,Seattle Downtown,515,1,1,7,1,7,7,2,3,1,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,,,,-9999,-9999,-9999,-9999,-9999,,0,0,4,1,24.98856673,24.98856673
17100414,1710041401,1,3,2,5/18/17,0,,1,7,2,1,2,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,3,9,2,3,0,0,King County,53033007300,530330073003,11603,Seattle South Lake Union,432,1,King County,53033008500,530330085003,11603,Seattle First Hill/Capitol Hill,609,,,,,,,,,,,,1,6,4,3,7,5,,,,,,,,,,,,,1,1,1,2,5,1,5,5,5,5,2,1,1,5,1,1,5,2,4,3,3,3,3,3,,0,0,5,1,526.313051,526.313051
17100414,1710041402,2,3,2,5/18/17,1,,3,7,1,1,1,1,1,,6,1,2,2,2,1,0,0,0,0,0,1,0,0,1,2,3,1,1,10,1,5,,,King County,53033010900,530330109001,11605,,778,1,King County,53033009400,530330094002,11605,,636,,,,,,,,,,,,1,7,5,4,7,5,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,526.313051,526.313051
17100414,1710041403,3,3,2,5/18/17,2,,3,1,2,,,0,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,526.313051,526.313051
17100418,1710041801,1,42,2,6/1/17,0,,1,7,1,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,2,2,2,1,,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,5,7,5,,,,,,,,,,,,,3,1,1,1,5,2,2,5,2,5,4,2,1,2,1,1,3,4,4,4,3,4,4,4,,0,0,6,1,2.726670984,2.726670984
17100418,1710041802,2,42,2,6/1/17,1,,2,7,2,7,,0,1,,6,1,2,1,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,4,7,5,,,,,,,,,,,,,,,,,5,4,,,4,5,5,1,1,1,1,1,4,5,5,4,4,4,4,4,,0,0,0,1,2.726670984,2.726670984
17100433,1710043301,1,22,2,4/18/17,0,,1,6,2,7,,0,1,,6,1,13,2,2,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,3,7,6,2,3,1,3,3,3,3,3,3,3,3,,,,,,2,2,,,3,2,1,2,2,2,1,2,2,2,2,6,6,6,6,6,,0,0,0,1,17.21823737,17.21823737
17100433,1710043302,2,22,2,4/18/17,1,,2,6,1,1,1,1,1,,6,1,1,2,2,1,0,0,1,0,0,0,0,0,1,3,2,8,2,8,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,501,3,,,,,,,,,,,,,,,,,,1,2,7,2,7,7,2,3,1,3,3,3,3,3,3,3,3,,3,1,3,1,2,2,1,2,2,2,2,1,2,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,0,1,17.21823737,17.21823737
17100441,1710044101,1,52,2,5/3/17,0,,1,9,2,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,2,2,8,6,8,,,,,King County,53033008100,530330081001,11603,Seattle Downtown,510,,,,,,,,,,,,,,,,,,,1,2,5,3,7,7,2,3,1,3,3,3,3,3,3,3,3,,4,4,3,1,5,5,5,5,5,5,5,1,1,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,1,3,1,22.99584803,22.99584803
